Unique_ID,Planting_Year,Year,Yard_Age,Variety,Variety_Susceptibility,FS_Binary,Pruning_Type,Mech_Prune,Pruning_Quality,Poor_Prune,Suscept_Binary,Flagshoots,Second_Year
1,2013,2014,1,Crystal,0,0,Notprune,1,5,1,0,0,1
2,2013,2015,2,Crystal,0,0,Chemical,1,5,1,0,0,0
3,2014,2015,1,Fuggle,1,0,Chemical,1,1,0,0,0,1
4,2013,2015,2,Fuggle,1,0,Mechanic,0,2,0,0,0,0
5,2011,2016,5,Cascade,1,0,Mechanic,0,1,0,0,0,0
6,2013,2016,3,Crystal,0,0,Mechanic,0,5,1,0,0,0
7,2013,2016,3,Fuggle,1,0,Mechanic,0,3,1,0,0,0
8,2013,2016,3,Tettnang,3,0,Mow_chem,1,2,0,1,0,0
9,2013,2016,3,Cascade,1,0,Mow_chem,1,1,0,0,0,0
10,2014,2016,2,Fuggle,1,0,Mechanic,0,3,1,0,0,0
11,1986,2016,30,Nugget,4,1,Chemical,1,3,1,1,0.00125,0
12,2016,2017,1,Willamette,3,0,Notprune,1,5,1,1,0,1
13,2012,2017,5,Santiam,1,0,Chemical,1,2,0,0,0,0
14,1986,2017,31,Nugget,4,0,Chemical,1,1,0,1,0,0
15,2011,2014,3,Cascade,1,0,Notprune,1,5,1,0,0,0
16,2013,2014,1,Lots,NA,0,Other,1,5,1,NA,0,1
17,1990,2014,24,Mt.Hood,2,0,Chemical,1,2,0,1,0,0
18,2011,2015,4,Cascade,1,0,Chemical,1,3,1,0,0,0
19,2013,2015,2,Crystal,0,0,Mechanic,0,4,1,0,0,0
20,2013,2015,2,Bravo,4,0,Mow_chem,1,2,0,1,0,0
21,2013,2015,2,Cascade,1,0,Mow_chem,1,3,1,0,0,0
22,2010,2015,5,Mt.Hood,2,0,Mow_chem,1,5,1,1,0,0
23,2004,2015,11,Sterling,3,0,Mowed,1,5,1,1,0,0
24,2004,2015,11,BrewersGold,4,0,Mowed,1,5,1,1,0,0
25,2004,2015,11,Santiam,1,0,Mow_chem,1,5,1,0,0,0
26,2004,2015,11,Santiam,1,0,Mowed,1,5,1,0,0,0
27,2014,2015,1,Nugget,4,0,Mow_chem,1,1,0,1,0,1
28,2013,2015,2,Cascade,1,0,Mow_chem,1,2,0,0,0,0
29,2013,2015,2,Apollo,5,0,Mow_chem,1,2,0,1,0,0
30,2013,2015,2,Chinook,4,0,Mow_chem,1,1,0,1,0,0
31,2000,2015,15,Sterling,3,0,Chemical,1,4,1,1,0,0
32,2016,2016,0,Crystal,0,0,Mow_chem,1,1,0,0,0,0
33,2015,2016,1,Crystal,0,0,Chemical,1,2,0,0,0,1
34,2004,2016,12,Sterling,3,0,Notprune,1,5,1,1,0,0
35,2013,2016,3,Centennial,3,0,Chemical,1,5,1,1,0,0
36,2015,2017,2,Sterling,3,0,Chemical,1,2,0,1,0,0
37,2016,2017,1,Tettnang,3,0,Chemical,1,2,0,1,0,1
38,2016,2017,1,Crystal,0,0,Chemical,1,2,0,0,0,1
39,2004,2017,13,Santiam,1,0,Mow_chem,1,1,0,0,0,0
40,2004,2017,13,Santiam,1,0,Chemical,1,1,0,0,0,0
41,2004,2017,13,Sterling,3,0,Mechanic,0,1,0,1,0,0
42,2004,2017,13,BrewersGold,4,0,Mow_chem,1,1,0,1,0,0
43,2017,2018,1,Comet,0,0,Notprune,1,5,1,0,0,1
44,2014,2014,0,Fuggle,1,0,Mechanic,0,1,0,0,0,0
45,2013,2014,1,Cascade,1,0,Chemical,1,3,1,0,0,1
46,2013,2014,1,Tettnang,3,0,Chemical,1,2,0,1,0,1
47,2011,2014,3,Sterling,3,0,Notprune,1,5,1,1,0,0
48,2015,2015,0,Centennial,3,0,Notprune,1,5,1,1,0,0
49,2014,2015,1,Willamette,3,0,Notprune,1,5,1,1,0,1
50,2014,2015,1,Sterling,3,0,Notprune,1,5,1,1,0,1
51,2014,2015,1,Centennial,3,0,Mechanic,0,1,0,1,0,1
52,2014,2015,1,Centennial,3,0,Mechanic,0,1,0,1,0,1
53,2011,2015,4,Centennial,3,0,Mechanic,0,1,0,1,0,0
54,2014,2015,1,Cascade,1,0,Chemical,1,4,1,0,0,1
55,2013,2015,2,Cascade,1,0,Mechanic,0,4,1,0,0,0
56,2013,2015,2,Centennial,3,0,Chemical,1,3,1,1,0,0
57,2014,2015,1,Willamette,3,0,Chemical,1,2,0,1,0,1
58,2013,2015,2,Tettnang,3,0,Chemical,1,2,0,1,0,0
59,2014,2015,1,Magnum,4,0,Chemical,1,5,1,1,0,1
60,2014,2015,1,Crystal,0,0,Notprune,1,5,1,0,0,1
61,2008,2015,7,OrganicF,1,0,Chemical,1,4,1,0,0,0
62,2014,2015,1,Cascade,1,0,Notprune,1,5,1,0,0,1
63,2014,2015,1,SorachiAce,3,0,Notprune,1,5,1,1,0,1
64,2014,2015,1,Magnum,4,0,Chemical,1,4,1,1,0,1
65,2012,2015,3,Magnum,4,0,Chemical,1,4,1,1,0,0
66,2012,2015,3,Sterling,3,0,Chemical,1,5,1,1,0,0
67,1990,2016,26,Mt.Hood,2,0,Mechanic,0,1,0,1,0,0
68,2014,2016,2,Centennial,3,0,Mechanic,0,1,0,1,0,0
69,2014,2016,2,Centennial,3,0,Mechanic,0,1,0,1,0,0
70,2014,2016,2,Crystal,0,0,Chemical,1,3,1,0,0,0
71,2011,2016,5,Centennial,3,0,Mechanic,0,1,0,1,0,0
72,2016,2016,0,Crystal,0,0,Mow_chem,1,5,1,0,0,0
73,2014,2016,2,Crystal,0,0,Mow_chem,1,5,1,0,0,0
74,2013,2016,3,Cascade,1,0,Mow_chem,1,3,1,0,0,0
75,2011,2016,5,Magnum,4,0,Mow_chem,1,2,0,1,0,0
76,2004,2016,12,BrewersGold,4,0,Notprune,1,5,1,1,0,0
77,2004,2016,12,Santiam,1,0,Notprune,1,5,1,0,0,0
78,2013,2016,3,Cascade,1,0,Chemical,1,5,1,0,0,0
