Year,Yard_Age,FS_Binary
2014*,1,1
2014*,1,1
2014*,2,1
2014*,6,1
2014*,10,1
2014*,15,1
2014*,20,1
2015*,7,1
2015*,13,1
2015*,16,1
2016*,3,1
2016*,8,1
2016*,17,1
2016*,18,1
2016*,21,1
2016*,25,1
2016*,30,1
2017*,1,1
2017*,1,1
2017*,2,1
2017*,4,1
2017*,9,1
2017*,11,1
2017*,15,1
2017*,18,1
2018*,1,1
2018*,1,1
2018*,2,1
2018*,2,1
2018*,4,1
2018*,4,1
2018*,5,1
2018*,5,1
2018*,5,1
2018*,5,1
2018*,5,1
2018*,16,1
2018*,25,1
2018*,27,1
2019*,6,1
2019*,13,1
2019*,28,1
2020*,6,1
2020*,6,1
2020*,8,1
2020*,9,1
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,0,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,1,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,2,0
2014,3,0
2014,3,0
2014,3,0
2014,3,0
2014,3,0
2014,3,0
2014,3,0
2014,5,0
2014,5,0
2014,6,0
2014,6,0
2014,6,0
2014,6,0
2014,6,0
2014,7,0
2014,8,0
2014,8,0
2014,8,0
2014,12,0
2014,12,0
2014,12,0
2014,12,0
2014,13,0
2014,14,0
2014,14,0
2014,14,0
2014,14,0
2014,14,0
2014,14,0
2014,15,0
2014,15,0
2014,15,0
2014,15,0
2014,16,0
2014,16,0
2014,19,0
2014,19,0
2014,19,0
2014,19,0
2014,21,0
2014,21,0
2014,22,0
2014,22,0
2014,22,0
2014,23,0
2014,23,0
2014,24,0
2014,26,0
2014,26,0
2014,28,0
2014,30,0
2014,30,0
2014,33,0
2015,0,0
2015,0,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,1,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,2,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,3,0
2015,4,0
2015,4,0
2015,4,0
2015,4,0
2015,4,0
2015,4,0
2015,4,0
2015,4,0
2015,5,0
2015,7,0
2015,7,0
2015,7,0
2015,7,0
2015,7,0
2015,8,0
2015,9,0
2015,9,0
2015,9,0
2015,9,0
2015,11,0
2015,11,0
2015,11,0
2015,11,0
2015,11,0
2015,13,0
2015,13,0
2015,13,0
2015,14,0
2015,15,0
2015,15,0
2015,15,0
2015,15,0
2015,15,0
2015,16,0
2015,16,0
2015,16,0
2015,16,0
2015,17,0
2015,17,0
2015,20,0
2015,20,0
2015,20,0
2015,20,0
2015,21,0
2015,22,0
2015,22,0
2015,23,0
2015,23,0
2015,23,0
2015,24,0
2015,24,0
2015,25,0
2015,27,0
2015,27,0
2015,29,0
2015,31,0
2015,31,0
2015,34,0
2016,0,0
2016,0,0
2016,0,0
2016,0,0
2016,0,0
2016,0,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,1,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,2,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,3,0
2016,4,0
2016,4,0
2016,4,0
2016,4,0
2016,4,0
2016,4,0
2016,4,0
2016,4,0
2016,5,0
2016,5,0
2016,5,0
2016,5,0
2016,5,0
2016,5,0
2016,5,0
2016,6,0
2016,8,0
2016,8,0
2016,9,0
2016,10,0
2016,10,0
2016,10,0
2016,10,0
2016,12,0
2016,12,0
2016,12,0
2016,12,0
2016,12,0
2016,14,0
2016,14,0
2016,14,0
2016,14,0
2016,16,0
2016,16,0
2016,16,0
2016,16,0
2016,16,0
2016,17,0
2016,17,0
2016,17,0
2016,18,0
2016,21,0
2016,21,0
2016,21,0
2016,22,0
2016,23,0
2016,23,0
2016,24,0
2016,24,0
2016,24,0
2016,25,0
2016,26,0
2016,28,0
2016,28,0
2016,32,0
2016,32,0
2016,35,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,1,0
2017,2,0
2017,2,0
